            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
       0.0137741          229436          132661        -21977.3          7720.7         4759.69        -596.346          263365          620391           92283       0.0133598         3.71765
       0.0275482          273758          157833        -26051.6         6727.77          4037.4        -646.225          592775          790972         86458.3       0.0230933         3.83522
       0.0413223          298334          171138        -28542.6         6662.11         3937.42        -664.908          769355          966237         68974.8       0.0201814         4.02851
       0.0550964          310982          177623        -30158.5         6695.53         3931.81         -671.22          944706     1.05712e+06           83999        0.014207         4.12701
       0.0688705          323408          184045        -31854.3         6744.46          3950.1        -676.138     1.06942e+06     1.14874e+06         90781.5      0.00920929         4.18766
       0.0826446          332411          188675        -33248.2         6794.12         3974.04        -681.073     1.15651e+06     1.23383e+06         89895.1       0.0106847         4.22383
       0.0964187          339813          192417        -34429.7         6842.27         3998.69         -686.02     1.19944e+06     1.34398e+06         73449.1       0.0108843         4.21478
        0.110193          345595          195165        -35394.2         6888.19         4022.19         -690.87     1.21214e+06     1.47458e+06         51656.4        0.011873         4.22617
        0.123967          350421          197296        -36238.2         6931.89         4044.07        -695.659     1.21979e+06     1.60042e+06         36407.2      0.00889026         4.24935
        0.137741          354752          199140        -36993.2         6973.87         4064.43        -700.389     1.23731e+06     1.70425e+06         27918.9      0.00573612         4.25752
        0.151515          358677          200798        -37642.6         7014.71          4083.5        -705.012     1.26432e+06     1.78736e+06         22756.3      0.00944415         4.24759
        0.165289          362223          202314        -38170.6         7054.85         4101.64         -709.49     1.29493e+06      1.8566e+06         18979.4       0.0146548         4.23256
        0.179063          365457          203704        -38575.9         7094.51          4119.2        -713.828     1.32533e+06     1.91778e+06         15802.3      0.00893146          4.2369
        0.192837          368430          205018        -38868.5         7133.76         4136.49         -718.05     1.35382e+06     1.97197e+06         13628.4      0.00693074         4.20593
        0.206612          371231          206278        -39076.8          7172.7         4153.71        -722.176     1.38117e+06     2.02055e+06           12318       0.0107289          4.1759
        0.220386          373870          207495        -39227.5         7211.37         4171.01        -726.208      1.4077e+06     2.06344e+06         12004.3       0.0144309         4.14231
         0.23416          376390          208669          -39356         7249.87          4188.5         -730.15     1.43354e+06     2.10198e+06           12268       0.0170596         4.10109
        0.247934          378741          209807        -39484.1         7288.27         4206.24        -734.014      1.4583e+06     2.13591e+06         12537.9      0.00634072         4.06322
        0.261708          380914          210830        -39626.1         7326.66         4224.29        -737.813     1.48312e+06     2.16662e+06         11985.2       0.0121222         4.02377
        0.275482          382846          211706          -39800         7365.11         4242.66        -741.572     1.50763e+06      2.1937e+06           10166      0.00765847           3.985
        0.289256          384522          212510        -39998.2         7403.65         4261.37        -745.318      1.5293e+06     2.21808e+06         6955.75      0.00760649         3.95123
         0.30303          385975          213205        -40224.7         7442.31         4280.41        -749.078     1.54912e+06      2.2405e+06         2632.49        0.005136         3.94977
        0.316804          387200          213743          -40476         7481.11         4299.78        -752.876       1.568e+06     2.26134e+06        -2807.14       0.0134199         3.94736
        0.330579          388194          214138          -40741         7520.03         4319.45        -756.732     1.58589e+06     2.28028e+06        -8766.29       0.0113647          3.9363
        0.344353          388974          214450        -41004.1         7559.07         4339.41        -760.651     1.60178e+06     2.29763e+06        -14835.6      0.00963632         3.92274
        0.358127          389550          214665        -41256.4          7598.2         4359.62        -764.625     1.61565e+06     2.31388e+06        -20800.8      0.00752714           3.907
        0.371901          389963          214789        -41490.8         7637.39         4380.07        -768.641     1.62775e+06     2.32975e+06        -26568.6      0.00757643         3.88633
        0.385675          390202          214786        -41706.5         7676.62         4400.72         -772.68     1.63852e+06     2.34531e+06        -32269.7       0.0135887         3.86316
        0.399449          390265          214689          -41891         7715.82         4421.55        -776.719     1.64716e+06     2.36037e+06        -37985.6        0.011942         3.83285
        0.413223          390167          214520        -42035.9         7754.95         4442.52        -780.728     1.65321e+06     2.37536e+06        -43837.8       0.0110204         3.79996
        0.426997          389916          214259        -42148.8         7793.91         4463.59         -784.68     1.65712e+06     2.39051e+06        -49979.1       0.0145603         3.76506
        0.440771          389512          213914        -42230.6         7832.62         4484.72        -788.549     1.65895e+06      2.4055e+06        -56161.8      0.00927634         3.72671
        0.454545          388991          213518        -42289.8         7870.98         4505.86        -792.311     1.65847e+06      2.4207e+06        -61792.6       0.0139545         3.68432
         0.46832          388379          213060        -42336.6         7908.88         4526.97        -795.945     1.65642e+06     2.43641e+06        -66511.3      0.00863518         3.63646
        0.482094          387677          212556        -42374.4         7946.19         4547.98        -799.424     1.65304e+06     2.45216e+06        -70542.1       0.0100014         3.58271
        0.495868          386887          212017        -42399.3         7982.76         4568.84        -802.719     1.64797e+06     2.46791e+06        -73715.6       0.0134231         3.53108
        0.509642          383046          207682        -41358.8         772.861         447.377         45.7152     2.30376e+06     2.87266e+06         -212331       0.0126122         4.38723
        0.523416          476332          261095        -52049.4         699.769          403.39         53.9193     2.72856e+06     3.14113e+06         -231079       0.0147095         4.45623
         0.53719          485643          266195        -53066.4         705.966         406.096          52.343      2.8083e+06      3.2159e+06         -231903       0.0112898         4.66991
        0.550964          491980          269603        -53756.5         715.727         410.964         50.4031     2.87928e+06     3.27927e+06         -232914       0.0173419         4.76086
