            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
       0.0137741          342521          196929        -31142.3         1825.52         1326.53         159.609          685973          901906         21154.9         0.02205         4.71468
       0.0275482          398336          228553        -36272.6         645.174         479.116         118.031     1.25474e+06     1.16847e+06         17543.5       0.0225033         4.93735
       0.0413223          433393          247706        -39781.2         552.283         357.641         96.6528     1.59467e+06     1.42357e+06         22236.8        0.018368         5.18081
       0.0550964          452515          257959        -42166.6         568.109         339.694         89.1164     1.91109e+06     1.57484e+06         26803.5       0.0139855          5.4289
       0.0688705          471392          268189          -44605         598.717         346.561         84.7831     2.14256e+06     1.73002e+06         22161.8       0.0186436         5.59734
       0.0826446          486229          276242        -46628.4         627.154         358.539          81.378     2.30835e+06     1.87965e+06         17367.7       0.0119798         5.71845
       0.0964187          499771          283405        -48417.7          651.09         370.338         78.4454     2.40618e+06     2.06739e+06         6630.08       0.0129626         5.76588
        0.110193          511327          289182        -49926.7         669.995         380.006         75.9131     2.47454e+06     2.26047e+06        -460.028       0.0106134         5.72549
        0.123967          521531          294121        -51284.2         684.544          387.26         73.5927     2.54596e+06     2.42617e+06        -1199.35       0.0109857         5.69244
        0.137741          530557          298467        -52483.6         695.992         392.395         71.4174      2.6279e+06     2.55778e+06        -293.988       0.0127489         5.70863
        0.151515          538499          302329        -53479.4         705.533         395.887         69.3278     2.71161e+06     2.66639e+06        -883.068       0.0101479         5.73341
        0.165289          545526          305789        -54263.2         713.853         398.304         67.3131     2.78934e+06     2.76184e+06         -3327.1       0.0145712         5.74777
        0.179063          551846          308925          -54865         721.234          400.15         65.3872     2.85907e+06     2.84742e+06        -6136.12      0.00995047         5.76491
        0.192837          557637          311815        -55323.1          727.77          401.77         63.5749     2.92245e+06     2.92352e+06         -8571.2      0.00522163         5.78963
        0.206612          563011          314517        -55682.7          733.53         403.355         61.8921     2.98062e+06     2.99094e+06        -10639.5       0.0135051         5.81048
        0.220386          568027          317029        -55976.3         738.598         404.983          60.356     3.03419e+06     3.05085e+06        -12199.3       0.0127647         5.83074
         0.23416          572696          319378        -56247.8         743.065         406.664         58.9697     3.08395e+06     3.10471e+06        -13683.4       0.0118108         5.85104
        0.247934          577063          321573        -56519.9          747.04         408.385          57.733     3.13023e+06     3.15337e+06          -14980       0.0145569          5.8773
        0.261708          581130          323621        -56818.9         750.634         410.142         56.6417      3.1734e+06     3.19796e+06        -16234.9       0.0168125         5.89742
        0.275482          584905          325530        -57149.9         753.934         411.934         55.6796     3.21412e+06      3.2388e+06        -17031.6       0.0115351          5.9052
        0.289256          588387          327300        -57512.8         757.001         413.752         54.8243     3.25256e+06     3.27608e+06        -16586.2       0.0124436         5.90484
         0.30303          591592          328941        -57905.5         759.875         415.592         54.0554      3.2887e+06     3.31026e+06        -14421.8      0.00910251         5.86446
        0.316804          594549          330470        -58319.8         762.593         417.447         53.3448     3.32286e+06     3.34182e+06        -10599.3      0.00460743         5.84879
        0.330579          597294          331899        -58740.7         765.189         419.315         52.6719     3.35542e+06     3.37084e+06        -5285.17      0.00744615         5.85501
        0.344353          599864          333247        -59161.2         767.665         421.188         52.0091     3.38693e+06     3.39737e+06         1547.78      0.00894863         5.86522
        0.358127          602277          334521        -59566.6         770.031         423.058         51.3401     3.41736e+06     3.42183e+06         9454.35       0.0102857         5.86609
        0.371901          604540          335723        -59953.2         772.294         424.915          50.656     3.44665e+06     3.44453e+06         18126.3      0.00980803         5.86357
        0.385675          606673          336863        -60310.2         774.454         426.749          49.959     3.47466e+06     3.46576e+06         27207.4      0.00998448         5.85748
        0.399449          608690          337938        -60636.7         776.519         428.552         49.2504     3.50145e+06     3.48526e+06         36373.9      0.00936618         5.87074
        0.413223          610608          338964        -60935.6         778.495         430.318         48.5336     3.52741e+06     3.50313e+06         45956.1       0.0111842         5.89758
        0.426997          612430          339942        -61210.4         780.381         432.038         47.8149     3.55272e+06     3.51894e+06         56412.9       0.0117341         5.90796
        0.440771          614174          340890        -61471.5         782.179         433.707         47.1023      3.5778e+06     3.53219e+06         67850.5      0.00596787         5.90779
        0.454545          615848          341814          -61720         783.897         435.329         46.4011     3.60314e+06     3.54262e+06         80108.8       0.0127759         5.90061
         0.46832          617455          342711        -61955.2         785.546         436.907         45.7174      3.6286e+06     3.55054e+06         92616.3       0.0177431         5.97574
        0.482094          618991          343580        -62180.8         787.131          438.44         45.0569      3.6538e+06     3.55633e+06          105188        0.013386         5.98996
        0.495868          620451          344409        -62393.8         788.665          439.93         44.4296     3.67848e+06     3.56042e+06          117790       0.0206997         5.98666
        0.509642          621844          345206        -62599.9         790.148         441.368          43.839     3.70285e+06     3.56259e+06          130349       0.0181329          5.9782
        0.523416          623158          345970        -62798.2         791.586         442.749         43.2875     3.72722e+06     3.56274e+06          143013       0.0225446         5.96574
         0.53719          624394          346684          -62989         792.989         444.069         42.7796     3.75127e+06     3.56099e+06          155636       0.0200835         5.94931
        0.550964          625546          347335          -63163         794.365         445.321         42.3151     3.77478e+06     3.55741e+06          167925       0.0193316         5.93518
        0.564738          626595          347931        -63324.5         795.711         446.498         41.8916     3.79778e+06     3.55197e+06          179396       0.0168405         5.94098
        0.578512          627513          348483        -63465.9         797.024         447.593          41.514     3.82032e+06     3.54532e+06          189696       0.0155356         5.94322
        0.592287          628337          348943        -63584.5         798.304         448.598         41.1866     3.84127e+06     3.53645e+06          199374       0.0149485         5.96013
        0.606061          629043          349342        -63681.3         799.544         449.511         40.9112     3.86155e+06     3.52669e+06          208212       0.0207007         5.99564
        0.619835          629653          349672        -63761.4         800.738         450.322         40.6875     3.88062e+06     3.51582e+06          216397       0.0135054         6.02785
        0.633609          630163          349929        -63824.8          801.88          451.03          40.512     3.89805e+06     3.50446e+06          223903       0.0143893         6.05799
        0.647383          630585          350126          -63878         802.959         451.634         40.3799     3.91389e+06     3.49313e+06          230737       0.0213202         6.08562
        0.661157          630918          350257        -63921.6         803.967          452.13         40.2899     3.92786e+06     3.48206e+06          236657       0.0215289          6.1079
        0.674931          631161          350322        -63954.4         804.893         452.521         40.2379     3.93936e+06     3.47188e+06          241630       0.0198535         6.13093
        0.688705          631314          350323        -63977.7         805.723         452.807         40.2143     3.94826e+06     3.46302e+06          245874       0.0177669         6.15169
        0.702479          631368          350259        -63992.9          806.45         452.992         40.2123     3.95376e+06     3.45653e+06          249483       0.0134053          6.1672
        0.716253          631345          350146        -64008.6         807.055         453.088         40.2247     3.95628e+06      3.4521e+06          252842      0.00600066          6.1805
        0.730028          631257          350010        -64036.2         807.521         453.111         40.2435     3.95612e+06     3.44996e+06          255830       0.0106484         6.20592
        0.743802          631110          349868        -64073.2         807.835          453.09         40.2583     3.95375e+06        3.45e+06          258454       0.0139695          6.2142
        0.757576          630924          349736        -64118.9         807.984         453.056         40.2651     3.95022e+06     3.45149e+06          260807       0.0161815         6.21255
         0.77135          630693          349631        -64170.8         807.958         453.055         40.2618     3.94633e+06     3.45431e+06          262649       0.0184501         6.25563
        0.785124          630463          349586        -64231.4         807.753         453.133         40.2458     3.94361e+06     3.45657e+06          264031       0.0184783         6.27266
        0.798898          630215          349600          -64294         807.358         453.338         40.2238     3.94204e+06     3.45867e+06          264788       0.0210348          6.2628
        0.812672          630001          349720        -64367.2         806.776         453.713         40.2014     3.94373e+06     3.45799e+06          264811       0.0079798         6.24869
        0.826446          629840          349947        -64441.1         806.026           454.3         40.1882     3.94911e+06     3.45429e+06          263904       0.0202277         6.24285
         0.84022          629784          350323        -64523.6         805.134         455.132         40.1942     3.95936e+06     3.44659e+06          261981       0.0197292         6.25456
        0.853994          629837          350833        -64603.2          804.14         456.231         40.2225     3.97437e+06     3.43534e+06          258954       0.0209831         6.26569
        0.867769          630031          351482        -64688.9         803.089           457.6         40.2772     3.99447e+06     3.42012e+06          254953       0.0115812         6.30631
        0.881543          630337          352254        -64773.7          802.03         459.225         40.3678     4.01922e+06     3.40139e+06          249858      0.00852594         6.34777
        0.895317          630728          353110        -64840.4         801.008         461.074         40.5025     4.04695e+06     3.38006e+06          243617       0.0234078          6.3587
        0.909091          631200          354039        -64896.7         800.071           463.1         40.6867     4.07723e+06     3.35581e+06          235956       0.0227023         6.36449
        0.922865          631744          355018        -64933.7         799.254         465.248         40.9285     4.10914e+06     3.32957e+06          226595       0.0254997         6.36703
        0.936639          632331          356013        -64942.1         798.584         467.463         41.2262     4.14114e+06     3.30256e+06          215367       0.0208288         6.36639
        0.950413          632955          357023        -64923.8         798.074         469.682         41.5786     4.17304e+06     3.27521e+06          202120       0.0225183         6.35969
        0.964187          633595          358009        -64872.5         797.737         471.848         41.9812     4.20375e+06     3.24828e+06          186962       0.0241253         6.34779
        0.977961          634247          358963          -64793         797.568         473.914         42.4338       4.233e+06      3.2225e+06          170508       0.0217862         6.33999
        0.991736          634897          359883        -64685.8         797.565         475.843         42.9313     4.26043e+06     3.19862e+06          153707       0.0185022           6.332
         1.00551          635526          360744        -64558.3         797.719         477.606          43.463     4.28568e+06     3.17696e+06          137227       0.0113059         6.32474
         1.01928          636120          361538        -64411.7         798.011         479.174         44.0229     4.30859e+06     3.15757e+06          120895       0.0119112         6.31268
         1.03306          636672          362270        -64242.9         798.425         480.538         44.6098     4.32861e+06     3.14092e+06          104411       0.0128266         6.29638
         1.04683          637182          362933        -64050.5         798.945         481.696          45.221     4.34568e+06     3.12721e+06         87675.2       0.0130965         6.27384
         1.06061          637669          363533        -63839.1         799.555         482.651         45.8579     4.36005e+06     3.11639e+06         70974.2       0.0192495         6.25092
         1.07438          638141          364083        -63612.5          800.24         483.413         46.5226     4.37205e+06     3.10828e+06         54544.8       0.0219905         6.22415
         1.08815          638607          364581        -63375.8         800.971         483.992         47.2179     4.38211e+06     3.10292e+06         38577.6       0.0197145         6.19317
         1.10193          639061          365028          -63137         801.741         484.408         47.9405     4.39054e+06     3.09984e+06         23159.2       0.0220641         6.15767
          1.1157          639492          365423        -62895.3         802.536         484.674         48.6835     4.39728e+06     3.09858e+06         8204.17       0.0122475         6.11433
         1.12948          639896          365765        -62649.1         803.339         484.808         49.4421      4.4024e+06     3.09885e+06        -6315.13       0.0177824         6.06997
         1.14325          640280          366059        -62405.8         804.139         484.824         50.2053      4.4058e+06     3.10064e+06        -20061.5       0.0163422         6.02279
         1.15702          640649          366307        -62163.4         804.927         484.741         50.9693     4.40771e+06     3.10405e+06          -33130       0.0258777         5.97245
          1.1708          640999          366513        -61920.5         805.695         484.576         51.7314     4.40806e+06     3.10894e+06        -46085.9       0.0245257         5.92029
         1.18457          641319          366667        -61666.2         806.438         484.342         52.4935     4.40659e+06     3.11553e+06        -59217.7       0.0138829         5.92027
         1.19835          641610          366763        -61403.9         807.147         484.045         53.2633     4.40316e+06     3.12362e+06        -72467.3       0.0204253         5.93613
         1.21212          641863          366803        -61121.2         807.811          483.69         54.0456     4.39751e+06     3.13324e+06        -86561.5       0.0219345         5.94497
          1.2259          642047          366773        -60825.1         808.417         483.278         54.8461     4.38943e+06     3.14366e+06         -102884       0.0205999         5.95378
         1.23967          642178          366684        -60515.6         808.956         482.814          55.672     4.37907e+06     3.15477e+06         -121231       0.0183949         5.95637
         1.25344          642288          366562        -60215.5         809.422          482.31         56.5242     4.36734e+06     3.16706e+06         -139335       0.0185043         5.95333
         1.26722          642425          366413        -59931.3          809.83         481.786         57.3936     4.35474e+06     3.18074e+06         -154773       0.0140092         5.94435
         1.28099          642589          366246        -59681.4          810.19          481.25         58.2644     4.34191e+06     3.19586e+06         -166957       0.0166281         5.92964
         1.29477          642774          366065        -59455.3         810.509         480.712         59.1292     4.32918e+06     3.21241e+06         -176335       0.0270869         5.91461
         1.30854          642968          365861        -59283.1         810.797         480.172         59.9761     4.31603e+06     3.22979e+06         -183391       0.0218203         5.89947
         1.32231          643165          365651        -59143.3         811.062         479.632         60.8035     4.30276e+06     3.24821e+06         -188493       0.0188935         5.92146
         1.33609          643365          365436        -59031.1         811.311         479.095         61.6109     4.28941e+06      3.2671e+06         -191787       0.0116227         5.96586
         1.34986          643565          365198        -58959.3         811.551         478.563         62.3956     4.27584e+06     3.28579e+06         -193320        0.017482         6.01787
         1.36364          643759          364955        -58909.2         811.779         478.042         63.1602     4.26215e+06     3.30419e+06         -192604        0.022991         6.05205
         1.37741          643949          364723        -58883.5         811.992         477.543         63.9066     4.24855e+06     3.32221e+06         -189543       0.0191396         6.08362
         1.39118          644149          364502        -58894.1         812.183         477.072         64.6404     4.23526e+06     3.33973e+06         -184494       0.0160268         6.11299
         1.40496          644336          364273        -58936.7         812.348         476.632         65.3633     4.22224e+06     3.35663e+06         -177658       0.0128255         6.13932
         1.41873          644489          364036        -59003.5         812.483          476.22         66.0758     4.20923e+06     3.37275e+06         -169907       0.0188665         6.18042
         1.43251          644595          363787          -59078         812.577         475.825         66.7824     4.19579e+06     3.38821e+06         -161676       0.0193471         6.20569
         1.44628          644661          363528          -59166         812.621         475.435         67.4834     4.18153e+06     3.40284e+06         -153203       0.0179227          6.2219
         1.46006          644690          363259        -59263.9         812.609         475.041         68.1767     4.16683e+06     3.41644e+06         -144423       0.0213143         6.23363
         1.47383          644678          362971        -59364.2         812.538         474.634         68.8594     4.15172e+06      3.4288e+06         -135127       0.0121831         6.24295
          1.4876          644611          362668        -59471.3         812.401         474.209         69.5287     4.13644e+06     3.43964e+06         -125305       0.0156554         6.25004
         1.50138          644504          362354        -59581.8         812.189         473.763         70.1795     4.12108e+06     3.44904e+06         -114981        0.019419         6.25572
         1.51515          644338          362031        -59709.6         811.901         473.287         70.8029     4.10518e+06     3.45676e+06         -104323       0.0101282         6.25931
         1.52893          644107          361698        -59832.3          811.53         472.781         71.3995     4.08885e+06     3.46313e+06        -93535.2       0.0174847         6.25815
          1.5427          643791          361344        -59953.9         811.073         472.243         71.9664     4.07174e+06     3.46816e+06        -82904.7       0.0195511         6.26219
         1.55647          643379          360948        -60078.7         810.522         471.673         72.5071     4.05343e+06     3.47156e+06          -72650       0.0142135         6.27248
         1.57025          642880          360518        -60196.5         809.876         471.067         73.0217     4.03434e+06     3.47365e+06        -62873.4       0.0207015         6.27232
         1.58402          642286          360044        -60311.4         809.138         470.424         73.5111     4.01427e+06     3.47454e+06        -54072.7       0.0124878         6.26714
          1.5978          641613          359539        -60418.5         808.307         469.739          73.976     3.99253e+06     3.47536e+06        -47013.5      0.00924605         6.26305
         1.61157          640876          359038        -60503.6         807.394         469.008         74.4243     3.96824e+06     3.47687e+06        -41669.7       0.0159542         6.25879
         1.62534          640068          358459          -60580         806.398         468.216         74.8508     3.94375e+06     3.47877e+06        -38275.2      0.00725426         6.25248
         1.63912          639124          357813        -60642.9         805.323         467.362         75.2488     3.91816e+06     3.47866e+06        -36366.8       0.0133972         6.23931
         1.65289          638068          357099        -60695.7         804.161         466.442         75.6117     3.89172e+06     3.47756e+06        -35443.1       0.0188861           6.252
         1.66667          636909          356385          -60732         802.903         465.462         75.9394     3.86283e+06     3.47566e+06        -34852.7       0.0132349         6.25632
         1.68044          635689          355595        -60770.7         801.564         464.426          76.225     3.83449e+06     3.47355e+06        -34013.2       0.0217984         6.24078
         1.69421          634411          354771        -60808.6         800.149         463.348         76.4563      3.8059e+06     3.47131e+06        -32561.5       0.0183523         6.22845
         1.70799          633117          353965        -60843.5         798.663         462.242          76.624     3.77674e+06     3.46993e+06        -30627.5       0.0145844         6.21559
         1.72176          631802          353136        -60880.1         797.119         461.121         76.7259     3.74813e+06     3.46885e+06        -28348.6       0.0163596         6.20623
         1.73554          630479          352277        -60923.1         795.534         459.989         76.7632     3.72074e+06     3.46816e+06        -25641.8       0.0126031         6.20022
         1.74931          629166          351447        -60960.5         793.924         458.861         76.7361     3.69404e+06     3.46775e+06          -21918      0.00913419         6.13202
         1.76309          627856          350628        -61001.7         792.305         457.744         76.6416     3.66867e+06     3.46702e+06        -17221.7      0.00838908         6.10705
         1.77686          626569          349825        -61047.9         790.687         456.648         76.4859     3.64493e+06     3.46566e+06        -11931.4       0.0112891          6.1117
         1.79063          625306          349048        -61093.6          789.08         455.583         76.2782     3.62279e+06      3.4636e+06        -6215.35      0.00901383         6.11229
         1.80441          624091          348308        -61141.6         787.494         454.564         76.0256      3.6021e+06     3.46152e+06         110.721       0.0152347         6.10866
         1.81818          622931          347603        -61195.8          785.94         453.602         75.7338     3.58288e+06     3.45963e+06         7027.47       0.0160116         6.10209
         1.83196          621843          346936        -61257.2         784.425         452.702           75.41     3.56496e+06     3.45789e+06         14630.5      0.00453703         6.09351
         1.84573          620815          346307        -61324.6         782.956         451.863         75.0603     3.54867e+06     3.45589e+06         22678.7       0.0109958         6.08373
          1.8595          619848          345724        -61397.5         781.539         451.079         74.6897     3.53412e+06     3.45327e+06         31046.6       0.0136037         6.07178
         1.87328          618928          345171        -61469.7         780.181         450.343         74.3034      3.5209e+06     3.44997e+06         39534.6       0.0172846         6.05783
