            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
         148.774          531270          309915        -53026.6         641.484         415.172         32.2092      3.2952e+06     1.46225e+06         -117584       0.0177447         6.16202
         148.788          531248          309927        -53256.3         641.245         415.054         32.8559     3.30195e+06      1.4574e+06        -97960.3       0.0118104         6.11718
         148.802          531244          309915        -53503.7         641.043         414.984         33.5032     3.30986e+06     1.45286e+06        -75274.4       0.0132808         6.14062
         148.815          531233          309888          -53768          640.86         414.954         34.1652     3.31833e+06     1.44737e+06        -50279.6       0.0150108         6.16506
         148.829          531208          309875        -54035.8         640.682         414.957         34.8457     3.32697e+06     1.44093e+06        -23918.5       0.0127146         6.17999
         148.843          531165          309856        -54292.9         640.501         414.986         35.5447     3.33565e+06     1.43385e+06         3237.78      0.00518282         6.18858
         148.857          531094          309795        -54547.9         640.309         415.028         36.2607     3.34416e+06     1.42644e+06         30747.7       0.0105664          6.1923
         148.871          530974          309707        -54787.7         640.099          415.07         36.9911     3.35147e+06     1.41854e+06         57780.1       0.0100986          6.1959
         148.884          530807          309590        -55004.9         639.863           415.1         37.7334     3.35747e+06     1.41053e+06           83446       0.0111371         6.20225
         148.898          530584          309427        -55193.8         639.596         415.103         38.4899     3.36205e+06     1.40273e+06          107314      0.00772601         6.20264
         148.912          530305          309205        -55355.5         639.291         415.062         39.2611     3.36493e+06     1.39542e+06          128916       0.0101894         6.19612
         148.926          529957          308923        -55489.4          638.94         414.962         40.0485     3.36539e+06     1.38875e+06          147747        0.010092         6.18164
         148.939          529543          308588        -55586.2         638.539          414.79         40.8557     3.36316e+06     1.38322e+06          163548      0.00711403         6.17305
         148.953          529065          308196          -55651         638.083         414.536         41.6868     3.35835e+06     1.37892e+06          176343      0.00850357         6.16559
         148.967          528531          307752        -55689.1         637.571         414.188         42.5417     3.35122e+06     1.37585e+06          186339      0.00899762         6.15203
         148.981          527937          307259        -55702.7         637.002         413.742         43.4178     3.34151e+06     1.37426e+06          193645       0.0137156         6.13051
         148.994          527297          306726          -55691          636.38         413.199         44.3103     3.32958e+06     1.37399e+06          198676      0.00989032         6.36968
         149.008          526622          306166        -55661.3         635.709         412.561         45.2178     3.31594e+06     1.37481e+06          201533       0.0118191         6.51548
         149.022          525915          305574        -55612.5         634.995         411.836         46.1455     3.30038e+06     1.37703e+06          202145      0.00755398         6.50467
         149.036          525162          304952        -55539.8         634.248         411.033         47.1022     3.28246e+06     1.38138e+06          199902       0.0116394         6.49777
          149.05          524333          304265        -55437.2         633.467          410.16         48.0984     3.26066e+06       1.389e+06          193884      0.00861577         6.49148
         149.063          523379          303475        -55283.5         632.648         409.217         49.1475      3.2329e+06     1.40166e+06          183182       0.0096577         6.45462
         149.077          522241          302533        -55065.4          631.78         408.198         50.2618     3.19693e+06     1.42118e+06          167487      0.00462807         6.41643
         149.091          520873          301389        -54773.1          630.83         407.092         51.4576     3.15099e+06     1.44888e+06          147089      0.00634116         6.37425
         149.105          519289          300051        -54418.8         629.753         405.897         52.7575     3.09519e+06     1.48466e+06          123469       0.0100575         6.32293
         149.118          517566          298581          -54028          628.51         404.622         54.1694     3.03226e+06     1.52639e+06         98892.7        0.010786         6.32787
         149.132          515804          297075        -53638.4         627.099         403.278         55.6553     2.96703e+06     1.57051e+06         75910.9       0.0113402         6.30791
         149.146          514112          295624        -53270.8         625.562          401.88          57.141     2.90394e+06     1.61395e+06         55316.1      0.00984716         6.22426
          149.16          512579          294291          -52930         623.961         400.447         58.5633     2.84557e+06     1.65476e+06         34570.3       0.0125867         6.12881
         149.174          511260          293106        -52593.9         622.375         398.988           59.92      2.7925e+06     1.69348e+06         9582.17       0.0171699         6.04816
         149.187          510100          292013        -52235.4         620.878         397.496          61.248     2.74252e+06     1.73188e+06        -20522.7      0.00649048         5.98299
         149.201          508973          290922        -51851.9         619.519         395.939         62.5701     2.69362e+06      1.7717e+06        -51234.8      0.00729391         5.92244
         149.215          507779          289767        -51460.2         618.307         394.283          63.872     2.64504e+06     1.81217e+06        -76336.7       0.0133507         5.88722
         149.229          506518          288554        -51087.3         617.226         392.503         65.1174     2.59762e+06       1.851e+06        -92770.2       0.0126102         5.85029
         149.242          505243          287334        -50760.1         616.245         390.592          66.259     2.55291e+06     1.88576e+06         -100251       0.0100343         5.81189
         149.256          503994          286152        -50495.3         615.332         388.558         67.2419     2.51245e+06     1.91526e+06        -99464.7       0.0182959         5.77504
          149.27          502792          285046          -50295         614.459         386.422         68.0135     2.47695e+06     1.93898e+06        -91064.8       0.0157796         5.74809
         149.284          501645          284019        -50157.1         613.607         384.211         68.5384     2.44663e+06     1.95675e+06        -75556.4       0.0176218         5.72296
         149.298          500560          283066        -50075.7         612.769          381.96         68.8047      2.4213e+06     1.96864e+06        -53946.3       0.0177267         5.69713
         149.311          499537          282185        -50040.7         611.948         379.704         68.8248     2.40062e+06     1.97494e+06        -27266.1       0.0122333         5.67386
         149.325          498558          281390        -50049.6         611.151         377.474         68.6265     2.38463e+06     1.97637e+06          3087.3       0.0125139         5.65394
         149.339          497611          280649          -50082          610.38         375.302         68.2454     2.37191e+06     1.97396e+06         35867.3       0.0111853         5.64929
         149.353          496707          279948        -50132.3         609.639         373.215         67.7148     2.36218e+06     1.96793e+06         70430.4      0.00575325         5.64502
         149.366          495813          279283          -50195         608.911         371.246         67.0636     2.35449e+06     1.95955e+06          105762       0.0140601         5.63843
          149.38          494934          278647        -50264.6         608.177         369.416         66.3144     2.34849e+06     1.94972e+06          141095       0.0103878         5.62691
         149.394          494055          278021        -50333.3         607.414         367.745         65.4849     2.34301e+06     1.93908e+06          175640        0.012186         5.61185
         149.408          493190          277416        -50400.5         606.598         366.245         64.5849     2.33772e+06     1.92844e+06          208617         0.00621         5.59321
         149.421          492342          276833        -50463.6         605.712         364.924         63.6189     2.33234e+06     1.91837e+06          239322      0.00663786         5.59532
         149.435          491525          276284        -50520.9         604.741         363.789           62.59     2.32644e+06     1.90962e+06          266797      0.00804674         5.60948
         149.449          490766          275783        -50569.8         603.681         362.845         61.4947     2.31994e+06      1.9029e+06          290123       0.0138556          5.6239
         149.463          490062          275325        -50601.7         602.535         362.093          60.333     2.31247e+06     1.89915e+06          308957      0.00746786         5.63311
         149.477          489432          274921        -50623.3         601.311         361.531         59.1056     2.30485e+06     1.89728e+06          324349      0.00884661          5.5508
          149.49          488913          274620        -50646.9         600.025         361.161         57.8132     2.29877e+06     1.89554e+06          337411       0.0157443         5.53123
         149.504          488562          274471        -50688.9         598.703         360.983         56.4544     2.29732e+06      1.8901e+06          349322       0.0137631         5.54168
         149.518          488496          274594        -50779.2         597.397         361.015         55.0205     2.30636e+06     1.87452e+06          360377       0.0133377         5.54882
         149.532          488802          275078        -50927.7         596.189         361.292         53.5024     2.32945e+06       1.846e+06          368661      0.00884601         5.54762
         149.545          489508          275943        -51123.7         595.171         361.844         51.9017     2.36632e+06     1.80645e+06          371669      0.00528772         5.54498
         149.559          490504          277100        -51331.2         594.418         362.668         50.2404     2.41119e+06     1.76295e+06          368232       0.0115522          5.5415
         149.573          491721          278474        -51535.1         593.985         363.733         48.5561     2.45988e+06     1.71975e+06          358298       0.0115867         5.54157
